Mouse.Entrez,MGI.ID,Description
18630,101758,plasmacytoma expressed transcript 2 [Source:MGI Symbol;Acc:MGI:101758]
20983,101759,synaptotagmin IV [Source:MGI Symbol;Acc:MGI:101759]
231769,101760,splicing factor suppressor of white-apricot homolog (Drosophila) [Source:MGI Symbol;Acc:MGI:101760]
15364,101761,high mobility group AT-hook 2 [Source:MGI Symbol;Acc:MGI:101761]
13713,101762,ELK3 member of ETS oncogene family [Source:MGI Symbol;Acc:MGI:101762]
12632,101763,cofilin 2 muscle [Source:MGI Symbol;Acc:MGI:101763]
12569,101764,cyclin-dependent kinase 5 regulatory subunit 1 (p35) [Source:MGI Symbol;Acc:MGI:101764]
12568,101765,cyclin-dependent kinase 5 [Source:MGI Symbol;Acc:MGI:101765]
20187,101766,receptor-like tyrosine kinase [Source:MGI Symbol;Acc:MGI:101766]
17210,101769,myeloid cell leukemia sequence 1 [Source:MGI Symbol;Acc:MGI:101769]
12075,101770,beaded filament structural protein 1 in lens-CP94 [Source:MGI Symbol;Acc:MGI:101770]
20650,101771,syntrophin basic 2 [Source:MGI Symbol;Acc:MGI:101771]
20648,101772,syntrophin acidic 1 [Source:MGI Symbol;Acc:MGI:101772]
12524,101773,CD86 antigen [Source:MGI Symbol;Acc:MGI:101773]
12518,101774,CD79A antigen (immunoglobulin-associated alpha) [Source:MGI Symbol;Acc:MGI:101774]
12519,101775,CD80 antigen [Source:MGI Symbol;Acc:MGI:101775]
16872,101776,LIM homeobox protein 4 [Source:MGI Symbol;Acc:MGI:101776]
20720,101780,serine (or cysteine) peptidase inhibitor clade E member 2 [Source:MGI Symbol;Acc:MGI:101780]
20649,101781,syntrophin basic 1 [Source:MGI Symbol;Acc:MGI:101781]
20276,101782,sodium channel nonvoltage-gated 1 alpha [Source:MGI Symbol;Acc:MGI:101782]
20873,101783,polo-like kinase 4 [Source:MGI Symbol;Acc:MGI:101783]
18008,101784,nestin [Source:MGI Symbol;Acc:MGI:101784]
17865,101785,myeloblastosis oncogene-like 2 [Source:MGI Symbol;Acc:MGI:101785]
17764,101786,metal response element binding transcription factor 1 [Source:MGI Symbol;Acc:MGI:101786]
17716,101787,mitochondrially encoded NADH dehydrogenase 1 [Source:MGI Symbol;Acc:MGI:101787]
217149,101788,CDGSH iron sulfur domain 3 [Source:MGI Symbol;Acc:MGI:101788]
100504524,101788,CDGSH iron sulfur domain 3 [Source:MGI Symbol;Acc:MGI:101788]
16881,101789,ligase I DNA ATP-dependent [Source:MGI Symbol;Acc:MGI:101789]
16592,101790,fatty acid binding protein 5 epidermal [Source:MGI Symbol;Acc:MGI:101790]
16392,101791,ISL1 transcription factor LIM/homeodomain [Source:MGI Symbol;Acc:MGI:101791]
434423,101800,developmental pluripotency associated 5A [Source:MGI Symbol;Acc:MGI:101800]
14062,101802,coagulation factor II (thrombin) receptor [Source:MGI Symbol;Acc:MGI:101802]
14936,101805,glycogen synthase 1 muscle [Source:MGI Symbol;Acc:MGI:101805]
230027,101813,coenzyme Q3 homolog methyltransferase (yeast) [Source:MGI Symbol;Acc:MGI:101813]
14260,101815,formin 1 [Source:MGI Symbol;Acc:MGI:101815]
14260,101815,formin 1 [Source:MGI Symbol;Acc:MGI:101815]
17685,101816,mutS homolog 2 (E. coli) [Source:MGI Symbol;Acc:MGI:101816]
27883,101825,transport and golgi organization 2 [Source:MGI Symbol;Acc:MGI:101825]
13712,101833,ELK1 member of ETS oncogene family [Source:MGI Symbol;Acc:MGI:101833]
103733,101834,tubulin gamma 1 [Source:MGI Symbol;Acc:MGI:101834]
22030,101835,TNF receptor-associated factor 2 [Source:MGI Symbol;Acc:MGI:101835]
22029,101836,TNF receptor-associated factor 1 [Source:MGI Symbol;Acc:MGI:101836]
21374,101838,TATA box binding protein [Source:MGI Symbol;Acc:MGI:101838]
19943,101839,ribosomal protein L28 [Source:MGI Symbol;Acc:MGI:101839]
19043,101841,protein phosphatase 1B magnesium dependent beta isoform [Source:MGI Symbol;Acc:MGI:101841]
18778,101842,phospholipase A2 group IB pancreas [Source:MGI Symbol;Acc:MGI:101842]
17215,101845,minichromosome maintenance deficient 3 (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:101845]
226695,101847,interferon activated gene 205 [Source:MGI Symbol;Acc:MGI:101847]
14697,101848,guanine nucleotide binding protein (G protein) beta 5 [Source:MGI Symbol;Acc:MGI:101848]
14694,101849,guanine nucleotide binding protein (G protein) beta polypeptide 2 like 1 [Source:MGI Symbol;Acc:MGI:101849]
77593,101850,ubiquitin specific petidase 45 [Source:MGI Symbol;Acc:MGI:101850]
14479,101857,ubiquitin specific peptidase 15 [Source:MGI Symbol;Acc:MGI:101857]
72972,101859,coiled-coil serine rich 2 [Source:MGI Symbol;Acc:MGI:101859]
11676,101863,aldolase C fructose-bisphosphate [Source:MGI Symbol;Acc:MGI:101863]
13138,101864,dystroglycan 1 [Source:MGI Symbol;Acc:MGI:101864]
20811,101865,src-related kinase lacking C-terminal regulatory tyrosine and N-terminal myristylation sites [Source:MGI Symbol;Acc:MGI:101865]
21832,101875,thrombopoietin [Source:MGI Symbol;Acc:MGI:101875]
21676,101876,TEA domain family member 1 [Source:MGI Symbol;Acc:MGI:101876]
21406,101877,transcription factor 12 [Source:MGI Symbol;Acc:MGI:101877]
20307,101878,chemokine (C-C motif) ligand 8 [Source:MGI Symbol;Acc:MGI:101878]
105242483,101878,chemokine (C-C motif) ligand 8 [Source:MGI Symbol;Acc:MGI:101878]
19015,101884,peroxisome proliferator activator receptor delta [Source:MGI Symbol;Acc:MGI:101884]
18999,101893,POU domain class 5 transcription factor 1 [Source:MGI Symbol;Acc:MGI:101893]
18994,101894,POU domain class 3 transcription factor 4 [Source:MGI Symbol;Acc:MGI:101894]
