Human,Mouse
1,117586
2,232345
9,17961
10,17960
12,20716
13,67758
14,227290
15,11298
16,234734
18,268860
19,11303
20,11305
21,27410
22,11306
23,224742
24,11304
25,11350
26,76507
27,11352
28,80908
29,109934
30,113868
31,107476
32,100705
33,11363
34,11364
35,11409
36,66885
37,11370
38,110446
41,11419
43,11423
47,104112
48,11428
49,11434
50,11429
51,11430
52,11431
53,11432
54,11433
55,56318
56,11451
58,11459
59,11475
60,11461
70,11464
71,11465
72,11468
81,60595
86,56456
87,109711
88,11472
90,11477
91,11479
92,11480
93,11481
94,11482
95,109652
97,66204
98,75572
100,11486
101,11501
102,11487
103,56417
104,110532
105,94191
107,432530
108,210044
109,104111
111,224129
112,11512
113,11513
114,11514
115,11515
116,11516
117,11517
118,11518
119,11519
120,27360
123,11520
126,11522
127,26876
128,11532
131,11529
132,11534
133,11535
134,11539
135,11540
136,11541
140,11542
141,11544
142,11545
143,328417
146,11550
147,11548
148,11549
150,11551
151,11552
152,11553
153,11554
154,11555
155,11556
156,110355
157,320129
158,11564
159,11566
160,11771
161,11772
162,11764
163,71770
164,11765
165,11568
166,14797
167,78081
173,280662
174,11576
175,11593
176,11595
177,11596
178,77559
181,11604
182,16449
183,11606
185,11607
186,11609
187,23796
189,11611
190,11614
191,269378
196,11622
197,11625
199,11629
202,11630
203,11636
204,11637
205,11639
207,11651
208,11652
210,17025
211,11655
212,11656
213,11657
214,11658
215,11666
216,11668
217,11669
218,11670
219,72535
220,56847
221,67689
223,56752
224,11671
225,26874
226,11674
229,230163
230,11676
231,11677
238,11682
239,11684
240,11689
241,11690
242,11686
246,11687
247,11688
248,11648
249,11647
250,11650
251,76768
257,11694
258,11698
259,11699
265,11704
267,23802
268,11705
269,110542
270,229665
271,109674
272,11717
273,218038
274,30948
275,434437
283,11727
284,11600
285,11601
286,11733
288,11735
290,16790
291,11739
292,11740
301,16952
302,12306
306,11745
307,11746
308,11747
309,11749
310,11750
311,11744
312,69787
313,27052
314,237940
316,11761
317,11783
318,66401
319,103161
320,319924
321,11784
322,11785
323,11787
324,11789
325,20219
326,11634
327,235606
328,11792
